iso3,year,GDP
AFW,1968,17022596883.7037
AFW,1967,16493541543.816
AFW,1966,18033947666.935
AFW,1965,16920876929.6607
AFW,1964,15803564796.4118
AFW,1963,14468913698.0467
AFW,1962,13630588814.3032
AFW,1961,12707719290.6273
AFW,1960,11904805741.6831
ARB,2025,3797527236194.65
ARB,2024,3745043769553.0
ARB,2023,3617895070373.04
ARB,2022,3752344988903.0
ARB,2021,3090113052044.16
ARB,2020,2608795934173.51
ARB,2019,2969429771610.46
ARB,2018,2924906594129.03
ARB,2017,2615263227679.8
ARB,2016,2540369856563.15
ARB,2015,2584151265962.58
ARB,2014,2940745822078.8
ARB,2013,2887116130913.48
ARB,2012,2816787067316.22
ARB,2011,2576183850806.81
ARB,2010,2165961502751.72
ARB,2009,1832774180319.93
ARB,2008,2121063708751.66
ARB,2007,1674640786036.4
ARB,2006,1439461123430.75
ARB,2005,1210081941398.6
ARB,2004,987304821542.152
ARB,2003,830076531568.175
ARB,2002,746768175363.066
ARB,2001,744564338442.53
ARB,2000,763400074351.443
ARB,1999,665404764120.193
ARB,1998,598783460087.878
ARB,1997,614595216835.673
ARB,1996,570906140763.65
ARB,1995,528474736899.022
ARB,1994,499875741124.964
ARB,1993,478901864353.457
ARB,1992,467773400613.497
ARB,1991,467929157934.646
ARB,1990,641683975928.51
ARB,1989,457356315289.488
ARB,1988,429362575737.796
ARB,1987,431233067109.026
ARB,1986,405451915982.932
ARB,1985,432863828743.159
ARB,1984,440359064231.052
ARB,1983,437494482946.75
ARB,1982,463114958246.78
ARB,1981,494945999084.645
ARB,1980,486447797289.299
ARB,1979,358135445489.827
ARB,1978,265416162868.754
ARB,1977,242286672182.623
ARB,1976,210007621800.111
ARB,1975,168169966765.176
ARB,1974,152199034142.502
ARB,1973,79130725493.6487
ARB,1972,59970718558.2201
ARB,1971,49930151347.6477
ARB,1970,43094139979.9118
ARB,1969,38563619383.8874
ARB,1968,34973045132.814
ARB,1967,30600869443.7775
ARB,1966,28351046006.7356
ARB,1965,26771102220.4976
ARB,1964,24813307199.2085
ARB,1963,22364471921.9059
ARB,1962,20329047180.414
ARB,1961,19998438360.0899
CSS,2025,95141207521.3621
CSS,2024,90434300483.4678
CSS,2023,79594075306.6477
CSS,2022,78475897832.9531
CSS,2021,62692425791.373
CSS,2020,53339533047.3726
CSS,2019,62185048912.3359
CSS,2018,61251232769.8672
CSS,2017,59854333034.3488
CSS,2016,58077597799.5106
CSS,2015,62546622822.0285
CSS,2014,64139344973.1037
CSS,2013,62057809452.4886
CSS,2012,60152214325.0841
CSS,2011,56728212756.0989
CSS,2010,52803409572.0273
CSS,2009,47913515379.1154
CSS,2008,57296315261.9305
CSS,2007,49739222993.1148
CSS,2006,44325879983.2222
CSS,2005,38224293958.7281
CSS,2004,33597817092.3498
CSS,2003,30589389405.8968
CSS,2002,27742046925.4435
CSS,2001,26504661126.1591
CSS,2000,25625542926.4456
CSS,1999,23393912390.0523
CSS,1998,21643804665.0628
CSS,1997,20074931520.308
CSS,1996,16941993239.8086
CSS,1995,15732201525.3694
CSS,1994,14793002834.8762
CSS,1993,13815833341.5092
CSS,1992,14242986936.367
CSS,1991,13946896742.2113
CSS,1990,13573367099.5127
CSS,1989,12606272526.7095
CSS,1988,12745727415.7592
CSS,1987,12334469174.3296
CSS,1986,11773697053.1201
CSS,1985,13794627075.9123
CSS,1984,13689070378.9541
CSS,1983,13189051711.1814
CSS,1982,13292712867.0251
CSS,1981,11977463255.1586
CSS,1980,10876340879.3427
CSS,1979,8405785521.3914
CSS,1978,6776416498.50876
CSS,1977,5937525886.22228
CSS,1976,4937767512.99323
CSS,1975,4819825581.33935
CSS,1974,4201310614.82803
CSS,1973,3173389131.65134
CSS,1972,2734457344.69049
CSS,1971,2457968135.09375
CSS,1970,2268330542.34162
CSS,1969,2152507805.36929
CSS,1968,1980508885.71067
CSS,1967,1929997389.27725
CSS,1966,1763304085.16679
CSS,1965,1658476310.98942
CSS,1964,1546223257.5277
CSS,1963,1447988752.00055
CSS,1962,1356047349.50434
CSS,1961,1272022469.10602
CSS,1960,1165303060.28689
CEB,2025,2762562481345.2
CEB,2024,2463134865871.42
CEB,2023,2273564082260.43
CEB,2022,1954028005289.23
CEB,2021,1926387937049.61
CEB,2020,1678297364952.0
CEB,2019,1684322326510.05
CEB,2018,1656387103225.12
CEB,2017,1467504296996.79
CEB,2016,1321564300745.06
CEB,2015,1297144243677.59
CEB,2014,1467454376587.2
CEB,2013,1420225996416.23
CEB,2012,1361901163411.55
CEB,2011,1458158364344.55
CEB,2010,1319446244881.88
CEB,2009,1289261661160.8
CEB,2008,1526123276964.15
CEB,2007,1254691637899.0
CEB,2006,987675979323.667
CEB,2005,871993037920.824
CEB,2004,749236864681.291
CEB,2003,621437270110.894
CEB,2002,518049996936.665
CEB,2001,460153265512.377
CEB,2000,420823859911.381
CEB,1999,426345402233.075
CEB,1998,442779325890.267
CEB,1997,405325268750.504
CEB,1996,411186267612.59
CEB,1995,388889205136.785
CEB,1994,304448250407.602
CEB,1993,267674623020.581
CEB,1992,252364702967.012
CEB,1991,244245640082.434
CEB,1990,276777263070.302
EAR,2025,16406032169247.4
EAR,2024,15648921855175.6
EAR,2023,14791485754640.0
EAR,2022,13943279396110.6
EAR,2021,12689608907980.0
EAR,2020,10818113835119.8
EAR,2019,11681340567084.1
EAR,2018,11470147555427.1
EAR,2017,11321429912094.9
EAR,2016,10435095271533.5
EAR,2015,10141599371579.2
EAR,2014,10547017467024.3
EAR,2013,10342396461018.3
EAR,2012,10284904242407.0
EAR,2011,9842609213387.36
EAR,2010,8728192674219.64
EAR,2009,7181684474649.47
EAR,2008,7464456008410.04
EAR,2007,6630769690203.11
EAR,2006,5600150744578.7
EAR,2005,4897661936723.59
EAR,2004,4209610787468.93
EAR,2003,3622383752487.14
EAR,2002,3255788416655.75
EAR,2001,3351551499259.02
EAR,2000,3378193447814.03
EAR,1999,3090767584477.85
EAR,1998,2921202598159.09
EAR,1997,3029896330909.83
EAR,1996,2836276821587.56
EAR,1995,2616760247005.8
EAR,1994,2502051602237.2
EAR,1993,2381903872502.73
EAR,1992,2207917972523.96
EAR,1991,2032060802129.33
EAR,1990,1915395300809.75
EAR,1989,1634222837827.41
EAR,1988,1606542317977.04
EAR,1987,1521885356881.62
EAR,1986,1498012882153.23
EAR,1985,1490465946638.07
EAR,1984,1494693999686.45
EAR,1983,1473986399727.79
EAR,1982,1460522040539.09
EAR,1981,1531893514764.8
EAR,1980,1382486344412.13
EAR,1979,1111822380172.63
EAR,1978,944714897497.551
EAR,1977,827420497969.45
EAR,1976,739989937616.362
EAR,1975,677316256674.159
EAR,1974,632667371728.021
EAR,1973,451322676037.209
EAR,1972,352703902764.195
EAR,1971,319662223179.562
EAR,1970,296897448737.123
EAR,1969,278942194997.876
EAR,1968,249632006937.28
EAR,1967,228979570158.739
EAR,1966,216874988054.339
EAR,1965,218948881610.417
EAR,1964,201819937881.147
EAR,1963,175991850384.884
EAR,1962,159434094510.767
EAR,1961,157590921642.378
EAR,1960,144719795637.653
EAS,2025,33656980597208.2
EAS,2024,32200466782431.1
EAS,2023,31597454903562.8
EAS,2022,31457553986143.5
EAS,2021,31866900585287.8
EAS,2020,27716337916114.1
EAS,2019,27555988315218.6
EAS,2018,26967805751611.4
EAS,2017,24764692848732.2
EAS,2016,23197528991928.0
EAS,2015,22388696608294.0
EAS,2014,22461065423931.7
EAS,2013,21719346361874.9
EAS,2012,21443742650233.5
EAS,2011,20025003264159.5
EAS,2010,17291859920837.7
EAS,2009,14811619687570.6
EAS,2008,14397041627177.2
EAS,2007,12482468447983.2
EAS,2006,11166176306011.2
EAS,2005,10526916106059.6
EAS,2004,9868085960844.77
EAS,2003,8807340167908.37
EAS,2002,8019320137887.65
EAS,2001,7890593533286.75
EAS,2000,8486535433030.27
EAS,1999,7826875274857.83
EAS,1998,7007987267442.95
EAS,1997,7860107080825.3
EAS,1996,8228628055250.14
EAS,1995,8528716916020.78
EAS,1994,7530779339791.84
EAS,1993,6732486122257.93
EAS,1992,6016741720049.82
EAS,1991,5504103130127.46
EAS,1990,4870448081100.07
EAS,1989,4666580282373.62
EAS,1988,4483574799155.79
EAS,1987,3729058262723.41
EAS,1986,3174176127549.03
EAS,1985,2424870445070.7
EAS,1984,2298766188393.25
EAS,1983,2149034903267.78
EAS,1982,2018221649482.94
EAS,1981,2061492105750.74
EAS,1980,1871494770533.76
EAS,1979,1730669890496.92
EAS,1978,1594313779407.05
EAS,1977,1260370808740.16
EAS,1976,1057205127539.79
EAS,1975,960826963671.602
EAS,1974,878021252636.729
EAS,1973,761298870250.087
EAS,1972,577335031209.605
EAS,1971,464027727165.348
EAS,1970,417484579719.919
EAS,1969,362399835992.436
EAS,1968,314219806361.196
EAS,1967,284213294173.736
EAS,1966,261332128783.027
EAS,1965,233479553214.308
EAS,1964,209760290864.328
EAS,1963,182666162813.465
EAS,1962,163635039643.099
EAS,1961,159741997377.877
EAS,1960,158296420585.794
EAP,2025,23247334500847.4
EAP,2024,22248728139844.3
EAP,2023,21645526054900.4
EAP,2022,21564016559632.4
EAP,2021,21231427856677.9
EAP,2020,17805087162972.8
EAP,2019,17503400404142.2
EAP,2018,16902232225491.5
EAP,2017,15115746338831.4
EAP,2016,13844229287201.0
EAP,2015,13549001701885.3
EAP,2014,13004796624150.5
EAP,2013,12047618706549.4
EAP,2012,10905339110889.0
EAP,2011,9774260422789.83
EAP,2010,8008612939930.06
EAP,2009,6581355241401.19
EAP,2008,6062020651659.77
EAP,2007,4787055911779.71
EAP,2006,3783277937264.24
EAP,2005,3140095880510.48
EAP,2004,2712364424547.48
EAP,2003,2337899791169.99
EAP,2002,2063860728512.8
EAP,2001,1862932027333.99
EAP,2000,1748618348962.32
EAP,1999,1587766769234.25
EAP,1998,1441284604893.38
EAP,1997,1576765689262.96
EAP,1996,1523108085149.4
EAP,1995,1325739943459.39
EAP,1994,1074481772219.03
EAP,1993,892446273872.149
EAP,1992,812994672964.462
EAP,1991,724654932688.966
EAP,1990,667410241508.278
EAP,1989,622836056673.594
EAP,1988,576126858481.928
EAP,1987,519033465046.499
EAP,1986,525182739596.105
EAP,1985,526600751089.371
EAP,1984,480915094642.189
EAP,1983,443839881509.845
EAP,1982,423850572150.819
EAP,1981,403551450432.948
EAP,1980,377947161288.534
EAP,1979,327589016955.703
EAP,1978,282919061354.682
EAP,1977,291532735013.151
EAP,1976,252942981187.157
EAP,1975,248772601176.036
EAP,1974,221665588687.632
EAP,1973,195616567916.784
EAP,1972,155518448869.276
EAP,1971,136580265754.987
EAP,1970,127182556289.611
EAP,1969,114217981695.758
EAP,1968,101580829248.914
EAP,1967,100474855679.916
EAP,1966,103483052014.092
EAP,1965,94594887799.9548
EAP,1964,81184317665.9229
EAP,1963,70288432260.5342
EAP,1962,64989160572.5448
EAP,1961,71247395333.073
EAP,1960,80886065110.4852
TEA,2025,23218679986475.4
TEA,2024,22221295178065.7
TEA,2023,21618798469116.3
TEA,2022,21537381722236.2
TEA,2021,21205167482133.0
TEA,2020,17783125335539.1
TEA,2019,17481840638100.6
TEA,2018,16881439039177.6
TEA,2017,15097175319188.0
TEA,2016,13827255558413.7
TEA,2015,13532365705740.1
TEA,2014,12988820106481.0
TEA,2013,12032819510378.6
TEA,2012,10891968824139.1
TEA,2011,9762253898511.05
TEA,2010,7998793934320.62
TEA,2009,6573323824227.51
TEA,2008,6054649425101.54
TEA,2007,4781266905492.39
TEA,2006,3778749876885.47
TEA,2005,3136370768809.06
TEA,2004,2709157341038.36
TEA,2003,2335145056826.44
TEA,2002,2061454246158.09
TEA,2001,1860776095171.98
TEA,2000,1746600304145.18
TEA,1999,1585945646832.78
TEA,1998,1439654527489.21
TEA,1997,1574968030482.32
TEA,1996,1521371528101.19
TEA,1995,1324237119504.0
TEA,1994,1073279171690.89
TEA,1993,891466245843.004
TEA,1992,812130263840.671
TEA,1991,723904575173.197
TEA,1990,666725912038.334
TEA,1989,622193930069.763
TEA,1988,575525093193.548
TEA,1987,518488360539.102
TEA,1986,524621676243.052
TEA,1985,526032437680.959
TEA,1984,480403927228.946
TEA,1983,443371246698.137
TEA,1982,423407966724.839
TEA,1981,403129803803.166
TEA,1980,377549806578.642
TEA,1979,327249769951.168
TEA,1978,282630837737.006
TEA,1977,291229976122.31
TEA,1976,252686739157.612
TEA,1975,248519521080.329
TEA,1974,221440713584.624
TEA,1973,195413149940.391
TEA,1972,155359237838.582
TEA,1971,136440829735.232
TEA,1970,127052297158.08
TEA,1969,114101000754.857
TEA,1968,101476791156.079
TEA,1967,100371950314.405
TEA,1966,103377065683.287
TEA,1965,94498004640.0973
TEA,1964,81101169480.9704
TEA,1963,70216443534.957
TEA,1962,64922599309.2546
TEA,1961,71174424446.8864
TEA,1960,80803222392.8859
EMU,2025,18010000307247.0
EMU,2024,16601464538082.4
EMU,2023,15957338405375.8
EMU,2022,14578675912327.5
EMU,2021,15008955622791.4
EMU,2020,13338044901392.1
EMU,2019,13658286442179.9
EMU,2018,13937879176171.9
EMU,2017,12901130483442.4
EMU,2016,12177215800581.1
EMU,2015,11880603228444.5
EMU,2014,13739142693292.4
EMU,2013,13413105856914.7
EMU,2012,12839246579840.9
EMU,2011,13866247656132.3
EMU,2010,12835436183865.7
EMU,2009,13135138604358.3
EMU,2008,14346208350010.2
EMU,2007,13035176682196.7
EMU,2006,11309041991993.2
EMU,2005,10627971366602.0
EMU,2004,10242911187425.1
EMU,2003,8929519218443.93
EMU,2002,7247791094758.98
EMU,2001,6636734730022.05
EMU,2000,6533285976076.88
EMU,1999,7152815111745.68
EMU,1998,7182324521394.46
EMU,1997,6983168724241.48
EMU,1996,7635464160643.11
EMU,1995,7553162009471.07
EMU,1994,6536616886781.35
EMU,1993,6188568278738.88
EMU,1992,6756330192255.26
EMU,1991,6132817301223.23
EMU,1990,5930533130402.98
EMU,1989,4718253841956.65
EMU,1988,4621258135477.36
EMU,1987,4209104459051.05
EMU,1986,3400064928901.0
EMU,1985,2424375881543.55
EMU,1984,2360301430447.23
EMU,1983,2458897623863.07
EMU,1982,2522699760354.73
EMU,1981,2605797790070.84
EMU,1980,2995971275466.91
EMU,1979,2675304303845.26
EMU,1978,2208297375004.2
EMU,1977,1803531894862.57
EMU,1976,1584986620972.09
EMU,1975,1519064173720.62
EMU,1974,1310383749159.08
EMU,1973,1155521149331.86
EMU,1972,890246121562.843
EMU,1971,737137989531.407
EMU,1970,650336369995.602
EMU,1969,574002667853.304
EMU,1968,513809275690.633
EMU,1967,477982513760.273
EMU,1966,449862539143.705
EMU,1965,415866726707.764
EMU,1964,380427631668.91
EMU,1963,343339367884.956
EMU,1962,312014889822.015
EMU,1961,282176307654.421
EMU,1960,253502941189.489
ECS,2025,32268612230366.9
ECS,2024,29371366035247.0
ECS,2023,27758730809930.4
ECS,2022,25850174701132.2
ECS,2021,25606138714522.2
ECS,2020,22340802078287.1
ECS,2019,23089828216899.5
ECS,2018,23360537744962.4
ECS,2017,21814876277943.7
ECS,2016,20560352355734.8
ECS,2015,20639397476661.5
ECS,2014,23959718523184.4
ECS,2013,23610195160751.0
ECS,2012,22592146410958.5
ECS,2011,23462080654159.3
ECS,2010,21144686639874.4
ECS,2009,20665617638433.4
ECS,2008,23464214449944.0
ECS,2007,21312176373245.5
ECS,2006,18232780756499.3
ECS,2005,16828963477327.4
ECS,2004,15806093490340.9
ECS,2003,13558532492379.2
ECS,2002,11150184165050.7
ECS,2001,10182615561468.2
ECS,2000,10078047371487.0
ECS,1999,10686389670550.3
ECS,1998,10797712209603.4
ECS,1997,10603796378822.8
ECS,1996,11168606418195.9
ECS,1995,10940729460750.2
ECS,1994,9408153883833.36
ECS,1993,8995636772541.42
ECS,1992,9788468740273.42
ECS,1991,9138089898100.33
ECS,1990,8878726012343.54
ECS,1989,7263606602350.32
ECS,1988,7168510979472.64
ECS,1987,6437822161188.42
ECS,1986,5212131769252.59
ECS,1985,3821268377073.22
ECS,1984,3692480049545.32
ECS,1983,3841689159894.35
ECS,1982,3961154338754.85
ECS,1981,4109346740273.79
ECS,1980,4613183973236.76
ECS,1979,4081215329294.55
ECS,1978,3347402769269.21
ECS,1977,2730344902930.24
ECS,1976,2413508636524.91
ECS,1975,2321569349630.87
ECS,1974,1987558367680.67
ECS,1973,1758690486416.66
ECS,1972,1382497493276.59
ECS,1971,1153027555074.93
ECS,1970,1021640782647.78
ECS,1969,908714511697.08
ECS,1968,819410564665.884
ECS,1967,777959544340.295
ECS,1966,732297506201.64
ECS,1965,677158759486.558
ECS,1964,620967198050.601
ECS,1963,561840533010.213
ECS,1962,513831394246.829
ECS,1961,469910931287.839
ECS,1960,427012867184.98
ECA,2025,2815874458069.5
ECA,2024,2454291731125.3
ECA,2023,2141252006536.72
ECA,2022,1819829713206.56
ECA,2021,1670530886782.34
ECA,2020,1435629650684.1
ECA,2019,1500446538705.77
ECA,2018,1465381526737.36
ECA,2017,1497595120805.31
ECA,2016,1459048873589.79
ECA,2015,1521842301869.27
ECA,2014,1745687745481.27
ECA,2013,1818186938934.41
ECA,2012,1666784947849.0
ECA,2011,1581470670923.71
ECA,2010,1390857073642.43
ECA,2009,1169850373591.65
ECA,2008,1402469464526.39
ECA,2007,1171564532812.61
ECA,2006,929653913665.92
ECA,2005,798910158032.869
ECA,2004,641354851059.115
ECA,2003,498100392298.148
ECA,2002,390539574547.918
ECA,2001,335654261833.442
ECA,2000,391265288460.481
ECA,1999,384494001094.165
ECA,1998,421392804209.247
ECA,1997,420620916289.984
ECA,1996,395418991591.802
ECA,1995,373850853754.823
ECA,1994,265720716949.43
ECA,1993,339240955303.574
ECA,1992,328456061561.192
ECA,1991,341091427145.219
ECA,1990,354162047861.415
ECA,1989,296016947774.013
ECA,1988,260718580043.155
ECA,1987,235136779236.371
TEC,2025,7077191807196.39
TEC,2024,6147416367408.77
TEC,2023,5535571828711.02
TEC,2022,5264957389633.5
TEC,2021,4627341470532.29
TEC,2020,3913694661148.13
TEC,2019,4176304236875.06
TEC,2018,4086887247276.34
TEC,2017,3925651486138.39
TEC,2016,3500968563901.72
TEC,2015,3645031517122.17
TEC,2014,4663476749067.68
TEC,2013,4934304443297.29
TEC,2012,4664191795996.97
TEC,2011,4468439340114.01
TEC,2010,3673616542653.72
TEC,2009,3121840190453.83
TEC,2008,3936202053332.51
TEC,2007,3179151934107.3
TEC,2006,2471291016359.46
TEC,2005,2043000026365.16
TEC,2004,1631386098916.6
TEC,2003,1261025229727.55
TEC,2002,1024837356677.88
TEC,2001,911685748933.185
TEC,2000,896296644399.434
TEC,1999,824136419159.807
TEC,1998,949940635053.96
TEC,1997,1056346888859.98
TEC,1996,1021246372670.98
TEC,1995,991386506668.089
TEC,1994,828931569961.887
TEC,1993,919184389271.211
TEC,1992,928560950239.102
TEC,1991,1001726332504.6
TEC,1990,1023447655222.17
TEC,1989,963860077864.432
TEC,1988,991676770953.412
EUU,2025,21243212570163.3
EUU,2024,19501078750999.4
EUU,2023,18659279022583.3
EUU,2022,17023620598906.4
EUU,2021,17495257191725.6
EUU,2020,15504058553907.7
EUU,2019,15809077129406.2
EUU,2018,16092407006604.4
EUU,2017,14871316217995.7
EUU,2016,13988150566298.6
EUU,2015,13656255577702.6
EUU,2014,15763599531004.8
EUU,2013,15398511081475.3
EUU,2012,14731878294328.4
EUU,2011,15874716537128.7
EUU,2010,14641776061063.4
EUU,2009,14844850799682.2
EUU,2008,16360464416206.0
EUU,2007,14779905573599.5
EUU,2006,12754718274523.8
EUU,2005,11940626626680.2
EUU,2004,11434848361291.9
EUU,2003,9944006859363.36
EUU,2002,8089955515956.84
EUU,2001,7398267811404.69
EUU,2000,7279892216791.94
EUU,1999,7926425566614.07
EUU,1998,7963038897258.0
EUU,1997,7730067215825.26
EUU,1996,8427282888819.22
EUU,1995,8292479629104.28
EUU,1994,7153669602083.88
EUU,1993,6748064931035.35
EUU,1992,7386533474604.1
EUU,1991,6725128658501.09
EUU,1990,6509962315038.71
EUU,1989,5205969934446.26
EUU,1988,5097809505881.36
EUU,1987,4642924954619.25
EUU,1986,3755682223993.79
EUU,1985,2688873056487.41
EUU,1984,2614138743953.14
EUU,1983,2713009177266.64
EUU,1982,2790132325363.01
EUU,1981,2892093759009.4
EUU,1980,3313726302275.61
EUU,1979,2962167536360.9
EUU,1978,2450951586250.89
EUU,1977,2012435309648.92
EUU,1976,1776294732761.4
EUU,1975,1695883390617.53
EUU,1974,1456588132159.46
EUU,1973,1286664466276.8
EUU,1972,994506318098.609
EUU,1971,824576913808.925
EUU,1970,729448866507.282
EUU,1969,644943176852.634
EUU,1968,577943413517.359
EUU,1967,538565381543.373
EUU,1966,505884660005.592
EUU,1965,467340971796.324
EUU,1964,427074637457.763
EUU,1963,385017342398.389
EUU,1962,350488733659.737
EUU,1961,317180166580.278
EUU,1960,285352082350.638
HPC,2025,1285481386975.21
HPC,2024,1147966586426.9
HPC,2023,1060851525652.8
HPC,2022,1002950189402.75
HPC,2021,924437668151.095
HPC,2020,816212465074.075
HPC,2019,811080887285.088
HPC,2018,790361943446.387
HPC,2017,735134788678.557
HPC,2016,677053478623.394
HPC,2015,674525283733.803
HPC,2014,705379811037.148
HPC,2013,667216081741.819
HPC,2012,595060811936.517
HPC,2011,573435618293.002
HPC,2010,518681650290.886
HPC,2009,475142721102.049
HPC,2008,481564738213.917
HPC,2007,404319749775.223
HPC,2006,338947673939.485
HPC,2005,288591119560.553
HPC,2004,249571115303.131
HPC,2003,216610034974.426
HPC,2002,190891346466.397
HPC,2001,175879852361.494
HPC,2000,181929508086.652
HPC,1999,168431404824.133
HPC,1998,167620980707.493
HPC,1997,161933433655.407
HPC,1996,154688747451.139
HPC,1995,141395905527.759
HPC,1994,121518574647.308
HPC,1993,142051421908.561
HPC,1992,136844691209.976
HPC,1991,180013449210.399
HPC,1990,165447183504.841
HPC,1989,144132297739.617
HPC,1988,141558264239.402
HPC,1987,134509036368.938
HPC,1986,126219299823.057
HPC,1985,137196640367.662
HPC,1984,130635964994.758
HPC,1983,128221978068.565
HPC,1982,129278372851.571
HPC,1981,127910339912.981
HPC,1980,127259629230.0
HPC,1979,114929806433.148
HPC,1978,104622112017.94
HPC,1977,89885368489.0048
HPC,1976,77585497906.3195
HPC,1975,72350863415.6136
HPC,1974,64257354956.936
HPC,1973,54553562932.0634
HPC,1972,44564788726.1793
HPC,1971,40099504488.5206
HPC,1970,37181536760.1335
HPC,1969,38503260469.2079
HPC,1968,34994461970.3202
HPC,1967,32488675063.8744
HPC,1966,32971073893.3373
HPC,1965,30407034659.8254
HPC,1964,26878565172.4856
HPC,1963,28893534515.8898
HPC,1962,24599541748.7051
HPC,1961,22627709232.3985
HPC,1960,21923722127.7439
IBD,2025,43056359078690.0
IBD,2024,40766443406773.0
IBD,2023,39083500948084.9
IBD,2022,37847494888632.6
IBD,2021,35868904968937.8
IBD,2020,30194051534423.9
IBD,2019,31370912490347.0
IBD,2018,30727224343894.0
IBD,2017,28849480049390.9
IBD,2016,26134891989406.5
IBD,2015,25941217987927.1
IBD,2014,27552867783541.2
IBD,2013,26787319485055.1
IBD,2012,25461967052262.8
IBD,2011,23955878375012.0
IBD,2010,20239797714297.1
IBD,2009,16646670816085.3
IBD,2008,17147397340377.1
IBD,2007,14287517909878.2
IBD,2006,11501211498155.5
IBD,2005,9694742216243.09
IBD,2004,8117393631129.81
IBD,2003,6814154037538.79
IBD,2002,6065785974350.62
IBD,2001,5971611141415.03
IBD,2000,5886134978692.93
IBD,1999,5408484188258.02
IBD,1998,5550058379297.93
IBD,1997,5775060591518.17
IBD,1996,5443875017792.29
IBD,1995,4987839099170.13
IBD,1994,4336867507416.28
IBD,1993,3930669158918.0
IBD,1992,3691704784868.32
IBD,1991,3533522589116.7
IBD,1990,3640234641965.91
IBD,1989,3241136016134.9
IBD,1988,3111420783529.12
IBD,1987,2910397889423.94
IBD,1986,2823956798256.48
IBD,1985,2720503602842.67
IBD,1984,2618831842082.71
IBD,1983,2529883145200.97
IBD,1982,2561222808854.54
IBD,1981,2598909261860.41
IBD,1980,2419257806557.85
IBD,1979,2037690891547.37
IBD,1978,1744163042026.43
IBD,1977,1577598498252.45
IBD,1976,1392135244289.28
