iso3,year,inflation
AFG,2024,-6.60118564073726
AFG,2023,-4.64470870797775
AFG,2022,13.7121023720065
AFG,2021,5.13320340824963
AFG,2020,5.60188791482224
AFG,2019,2.30237251516834
AFG,2018,0.626149149168847
AFG,2017,4.97595150553833
AFG,2016,4.38389195513915
AFG,2015,-0.661709164713742
AFG,2014,4.67399603536345
AFG,2013,7.38577178397855
AFG,2012,6.44121280934117
AFG,2011,11.8041858089129
AFG,2010,2.17853752389419
AFG,2009,-6.81116108898996
AFG,2008,26.4186641547444
AFG,2007,8.68057078513406
AFG,2006,6.78459655001655
AFG,2005,12.6862687216715
ALB,2025,2.14618551167388
ALB,2024,2.21587375089992
ALB,2023,4.75834555150038
ALB,2022,6.72520271530059
ALB,2021,2.04147163139545
ALB,2020,1.62088661717021
ALB,2019,1.41109078954242
ALB,2018,2.02805963071135
ALB,2017,1.98666133171194
ALB,2016,1.27543168367423
ALB,2015,1.89617402592356
ALB,2014,1.62586504402614
ALB,2013,1.93762080205223
ALB,2012,2.03159268395296
ALB,2011,3.42807130141501
ALB,2010,3.6271009151748
ALB,2009,2.26692209450826
ALB,2008,3.32087090389275
ALB,2007,2.93268248162317
ALB,2006,2.37072831904284
ALB,2005,2.36658195679795
ALB,2004,2.28001916938099
ALB,2003,0.484002611818503
ALB,2002,7.77052583431551
ALB,2001,3.10758827031435
ALB,2000,0.0500181363468103
ALB,1999,0.389437653561628
ALB,1998,20.6428588670596
ALB,1997,33.1802743753956
ALB,1996,12.7254778087102
ALB,1995,7.79321853789215
ALB,1994,22.5650526933696
ALB,1993,85.0047512387157
ALB,1992,226.005421253526
DZA,2025,1.41835151429016
DZA,2024,4.04611455313434
DZA,2023,9.32217375928322
DZA,2022,9.26551551551553
DZA,2021,7.22606307415477
DZA,2020,2.41513094083414
DZA,2019,1.95176821052892
DZA,2018,4.26999020467084
DZA,2017,5.59111590961664
DZA,2016,6.39769480268757
DZA,2015,4.78444700693889
DZA,2014,2.91692692067458
DZA,2013,3.25423910998847
DZA,2012,8.89145091062317
DZA,2011,4.5242115050527
DZA,2010,3.91106195534028
DZA,2009,5.73706036145628
DZA,2008,4.85859062814939
DZA,2007,3.67899574741699
DZA,2006,2.31149918514424
DZA,2005,1.38244656662118
DZA,2004,3.96180030257187
DZA,2003,4.268953958395
DZA,2002,1.41830192345051
DZA,2001,4.22598834854673
DZA,2000,0.339163189071768
DZA,1999,2.64551113392799
DZA,1998,4.95016163793114
DZA,1997,5.73352275357187
DZA,1996,18.6790758601749
DZA,1995,29.7796264864999
DZA,1994,29.0476561173071
DZA,1993,20.5403261235827
DZA,1992,31.6696619117149
DZA,1991,25.8863869348514
DZA,1990,16.6525343885432
DZA,1989,9.30436125843166
DZA,1988,5.91154496373489
DZA,1987,7.44126091287247
DZA,1986,12.3716091651299
DZA,1985,10.4822870444467
DZA,1984,8.116397955171
DZA,1983,5.9671639303272
DZA,1982,6.54250963007673
DZA,1981,14.6548426360634
DZA,1980,9.51782449754963
DZA,1979,11.3486005086091
DZA,1978,17.5239234455033
DZA,1977,11.989283322105
DZA,1976,9.43073540174557
DZA,1975,8.23031665265143
DZA,1974,4.69961240341694
DZA,1973,6.17283950622715
DZA,1972,3.65630712983236
DZA,1971,2.62664165105635
DZA,1970,6.59999999900017
AGO,2025,20.1620197572331
AGO,2024,28.2404948915772
AGO,2023,13.6441017767715
AGO,2022,21.3552901320822
AGO,2021,25.7542948841891
AGO,2020,22.271539247051
AGO,2019,17.080954143438
AGO,2018,19.6289379701521
AGO,2017,29.8444799015679
AGO,2016,30.6944150806719
AGO,2015,9.35597215533784
AGO,2014,7.28038730361121
AGO,2013,8.77781429332624
AGO,2012,10.2779049218839
AGO,2011,13.4824679218511
AGO,2010,14.4696564932577
AGO,2009,13.7302839288408
AGO,2008,12.4758291326398
AGO,2007,12.2514974459487
AGO,2006,13.3052101780032
AGO,2005,22.953513851394
AGO,2004,43.5421067519687
AGO,2003,98.2241436573304
AGO,2002,108.897436089429
AGO,2001,152.561022469299
AGO,2000,324.996871601321
AGO,1999,248.195902412868
AGO,1998,107.284821528298
AGO,1997,219.176721172974
AGO,1996,4145.10598220638
AGO,1995,2666.45059288538
AGO,1994,949.792531120332
AGO,1993,1378.52760736196
AGO,1992,299.509803921569
AGO,1991,83.7837837837838
ATG,2025,1.36873527521954
ATG,2024,6.19886698842116
ATG,2023,5.06713865364213
ATG,2022,7.53107834634288
ATG,2021,2.06299638545334
ATG,2020,0.625989707046719
ATG,2019,1.43135598182984
ATG,2018,1.20715793367008
ATG,2017,2.43248789041363
ATG,2016,-0.489437796230499
ATG,2015,0.968993458825638
ATG,2014,1.08944157435355
ATG,2013,1.05949782356169
ATG,2012,3.37688044338874
ATG,2011,3.4567496723461
ATG,2010,3.37002540220148
ATG,2009,-0.550159995508914
ATG,2008,5.33380639820233
ATG,2007,1.41605259409741
